"operateur","mos_dl_moy","longitude","latitude"
"Bouygues",445,"0.48189",4484713
"Bouygues",393,"-2.28596",4808324
"Orange",378,"-0.57320",4482071
"SFR",392,"-1.25947",4402512
"Bouygues",395,"2.31700",5059334
"SFR",401,"2.38842",5001520
"FREE",379,"5.93979",4938180
"SFR",388,"0.19127",4799794
"SFR",376,"6.16022",4914857
"FREE",452,"4.74636",4454192
"FREE",375,"3.88271",4360836
"SFR",443,"3.16361",5069524
"Orange",390,"2.83397",5042839
"SFR",352,"-1.54936",4722472
"Orange",392,"5.19917",4440686
"Orange",392,"5.73198",4518370
"Orange",395,"-0.57320",4482075
"FREE",382,"-1.85141",4861986
"SFR",445,"1.12699",4584836
"FREE",398,"1.42638",4358271
"FREE",382,"1.57447",4390570
"FREE",449,"4.85939",4392417
"Bouygues",392,"7.27417",4369981
"Bouygues",363,"2.49554",4672995
"SFR",394,"-3.64792",4869351
"Bouygues",354,"5.44017",4331783
"Orange",386,"2.98379",5061084
"Orange",444,"4.77115",4847667
"Bouygues",391,"4.73257",4598475
"Orange",375,"3.94450",4565908
"SFR",446,"6.02197",4310752
"Bouygues",368,"-0.20348",4928063
"Bouygues",374,"1.75159",4485719
"SFR",391,"2.34724",4887084
"Bouygues",385,"5.92016",4313231
"Bouygues",362,"0.19018",4952546
"Orange",374,"0.95699",4570235
"Bouygues",367,"5.36228",4787971
"FREE",357,"4.93760",4569006
"SFR",392,"2.78290",4886963
"Orange",394,"5.73198",4518370
"Bouygues",397,"5.78448",4490679
"Bouygues",394,"-1.35719",4682362
"Bouygues",364,"2.00333",5000979
"Orange",394,"0.86968",4642601
"Orange",390,"-2.26364",4725761
"Orange",363,"-1.47151",4348887
"Bouygues",379,"6.03191",4590329
"SFR",389,"2.23638",4889711
"SFR",391,"4.01590",4969501
"Bouygues",374,"5.73009",4519439
"SFR",387,"5.03283",4584155
"Orange",362,"2.47814",4919439
"Bouygues",373,"2.87798",5020000
"Orange",447,"2.45873",4490100
"FREE",376,"0.18496",4566143
"FREE",396,"0.15645",4950193
"SFR",423,"-0.60967",4477188
"Bouygues",390,"1.07377",4939784
"Orange",395,"4.08803",4356201
"Bouygues",390,"6.99640",4360128
"FREE",327,"5.35694",4814981
"Bouygues",391,"2.40129",4459932
"Orange",390,"6.33873",4709560
"FREE",338,"2.05926",4896065
"FREE",411,"-0.34431",4916951
"Bouygues",444,"2.49554",4672994
"Bouygues",429,"0.97983",4813759
"FREE",378,"3.38907",4903476
"SFR",365,"4.92281",4837671
"FREE",306,"1.78803",4756464
"SFR",316,"6.46917",4922143
"FREE",382,"-0.56727",4485776
"Bouygues",447,"2.25315",4894740
"Orange",446,"1.29912",4643488
"Orange",437,"0.04970",4843553
"Bouygues",281,"7.24768",4369613
"Bouygues",391,"2.39832",5047538
"FREE",447,"-1.53116",4347235
"Orange",392,"-1.58190",4719179
"Bouygues",381,"1.08017",4939529
"SFR",392,"5.54449",4351075
"FREE",407,"7.29846",4807036
"Bouygues",389,"1.57823",4881572
"Bouygues",444,"2.34983",4888366
"Bouygues",357,"6.07436",4309422
"FREE",376,"4.95664",4566371
"Bouygues",444,"6.58045",4605907
"SFR",448,"0.20090",4800397
"SFR",389,"2.06040",4894861
"FREE",358,"5.42305",4920847
"FREE",378,"1.43763",4361111
"SFR",390,"6.08111",4309403
"Bouygues",387,"4.80326",4394286
"FREE",392,"2.46311",4932601
"SFR",414,"1.89585",4789872
"Orange",382,"0.54555",4852111
"SFR",394,"2.62880",5052228
