"Profil/terminal:

2G/3G/4G
2G/3G/4G/5G
","
Lieu/strate:

Toutes zones d'habitation
Zones denses
Zones intermediaires
Zones rurales
Zones touristiques
Transports - Routes
Transports - TGV
Transports - Intercités & TER
Transports - RER & Transiliens
Transports - Metro","Situation:

Indoor
Outdoor
Tous usages
Incar
Intrain
","Service:

DOWNLOAD
UPLOAD
WEB
VIDEO
VOIX-INTRA
VOIX-INTRA-INTER
SMS","Indicateur:

Taux de fichier reçu
Débit moyen
Taux de fichier envoyé
Taux d'accroche 5G
Chargement Web < 5s
Chargement Web < 10s
Diffusion réussie et de qualite parfaite
Diffusion réussie et de qualite correcte
Communications réussies
Communications réussies et de qualité parfaite
Réception SMS <10s

",Bouygues Telecom,Free Mobile,Orange,SFR,Volumétrie totale,Moyenne
2G/3G/4G/5G,Zones intermediaires,Indoor,VOIX,Communications réussies,0.9696969696969697,0.9515738498789347,0.9758064516129032,0.9564516129032258,9880,0.9633603238866397
2G/3G/4G/5G,Zones denses,Indoor,VOIX,Communications réussies,0.9836309523809523,0.9587932303164092,0.9713024282560706,0.9712389380530974,10836,0.9712070874861573
2G/3G/4G/5G,Zones Touristiques,Indoor,VOIX,Communications réussies,0.946058091286307,0.9098360655737705,0.9795081967213115,0.9262295081967213,1946,0.9403905447070915
2G/3G/4G/5G,Toutes zones d'habitation,Indoor,VOIX,Communications réussies,0.9320038443056223,0.9184539241102994,0.955937794533459,0.9188679245283019,33778,0.9313162413405175
2G/3G/4G/5G,Zones rurales,Outdoor,VOIX,Communications réussies,0.8811445341159208,0.87660485021398,0.9386590584878745,0.8773181169757489,11138,0.8935176871969833
2G/3G/4G/5G,Zones intermediaires,Outdoor,VOIX,Communications réussies,0.9861788617886179,0.9709677419354839,0.9935483870967742,0.9814066289409863,9894,0.9830200121285627
2G/3G/4G/5G,Zones denses,Outdoor,VOIX,Communications réussies,0.994069681245367,0.9830882352941176,0.9970544918998527,0.9859985261606485,10848,0.9900442477876106
2G/3G/4G/5G,Zones Touristiques,Outdoor,VOIX,Communications réussies,0.9793388429752066,0.9385245901639344,0.9794238683127572,0.9669421487603306,1942,0.9660144181256437
2G/3G/4G/5G,Toutes zones d'habitation,Outdoor,VOIX,Communications réussies,0.9541108986615678,0.9418276024493641,0.9757247230732972,0.9476168003775366,33822,0.9548223050085743
2G/3G/4G/5G,Zones rurales,Tous usages,VOIX,Communications réussies,0.8457474195362844,0.8424626117691132,0.9073426935383089,0.8365779577093676,33358,0.8581321418266976
2G/3G/4G/5G,Zones intermediaires,Tous usages,VOIX,Communications réussies,0.9757626114164607,0.9557433235706275,0.9819801201310837,0.9657006062978544,29656,0.969779863753158
2G/3G/4G/5G,Zones denses,Tous usages,VOIX,Communications réussies,0.9885949221777379,0.966528968099381,0.9823392333804022,0.9744476473589396,32518,0.9779467650996405
2G/3G/4G/5G,Zones Touristiques,Tous usages,VOIX,Communications réussies,0.9569221351455274,0.9139344262295083,0.9731731655760193,0.936385087838143,5814,0.9450211237398369
2G/3G/4G/5G,Toutes zones d'habitation,Tous usages,VOIX,Communications réussies,0.9364691097400325,0.9194007309766111,0.9569355915993202,0.9241620912883215,101346,0.9342315170710109
2G/3G/4G/5G,Zones rurales,Incar,VOIX,Communications réussies et sans perturbations audibles,0.565410199556541,0.5025017869907077,0.5938615274803711,0.5754110078627591,11104,0.5592579250720461
2G/3G/4G/5G,Zones intermediaires,Incar,VOIX,Communications réussies et sans perturbations audibles,0.8420195439739414,0.7738287560581584,0.8843977364591754,0.8239095315024233,9882,0.8310058692572354
2G/3G/4G/5G,Zones denses,Incar,VOIX,Communications réussies et sans perturbations audibles,0.9156716417910448,0.8272058823529411,0.9116997792494481,0.8541973490427098,10834,0.877053719771091
2G/3G/4G/5G,Zones Touristiques,Incar,VOIX,Communications réussies et sans perturbations audibles,0.8127659574468085,0.7295081967213115,0.8166666666666667,0.7950819672131147,1926,0.7881619937694704
2G/3G/4G/5G,Toutes zones d'habitation,Incar,VOIX,Communications réussies et sans perturbations audibles,0.7740615976900866,0.6988917708087715,0.7932499409959878,0.7499410238263742,33746,0.753926391276003
2G/3G/4G/5G,Zones rurales,Indoor,VOIX,Communications réussies et sans perturbations audibles,0.7728613569321534,0.7658815132048536,0.8572448251249107,0.7685714285714286,11116,0.7912918315940985
2G/3G/4G/5G,Zones intermediaires,Indoor,VOIX,Communications réussies et sans perturbations audibles,0.9090909090909091,0.8886198547215496,0.9298387096774193,0.8983870967741936,9880,0.9064777327935223
2G/3G/4G/5G,Zones denses,Indoor,VOIX,Communications réussies et sans perturbations audibles,0.9389880952380952,0.8984547461368654,0.9374540103016924,0.9233038348082596,10836,0.9245108896271687
