"Profil/terminal:

2G/3G/4G
2G/3G/4G/5G
","
Lieu/strate:

Toutes zones d'habitation
Zones denses
Zones intermediaires
Zones rurales
Zones touristiques
Transports - Routes
Transports - TGV
Transports - Intercités & TER
Transports - RER & Transiliens
Transports - Metro","Situation:

Indoor
Outdoor
Tous usages
Incar
Intrain
","Service:

DOWNLOAD
UPLOAD
WEB
VIDEO
VOIX-INTRA
VOIX-INTRA-INTER
SMS","Indicateur:

Taux de fichier reçu
Débit moyen
Taux de fichier envoyé
Taux d'accroche 5G
Chargement Web < 5s
Chargement Web < 10s
Diffusion réussie et de qualite parfaite
Diffusion réussie et de qualite correcte
Communications réussies
Communications réussies et de qualité parfaite
Réception SMS <10s

",Bouygues Telecom,Precision statistique,Free Mobile,Precision statistique.1,Orange,Precision statistique.2,SFR,Precision statistique.3,Volumétrie totale,Moyenne,Precision statistique.4
2G/3G/4G/5G,Transports - Intercites et TER,intrain,VOIX,Communications réussies,0.6009593421653723,0.014506054742067185,0.5897640487860482,0.014556367470487906,0.6737099644128114,0.013705071673152356,0.5923509561304837,0.01444617759622159,35411,0.614498319731157,0.007169278658312107
2G/3G/4G/5G,Transports - Intercites et TER,intrain,VOIX,Communications réussies et sans perturbations audibles,0.40977615349474644,0.014567999219674726,0.38208138607089936,0.014379394002903313,0.48265124555160144,0.014606674103968677,0.40764904386951634,0.014446177596221589,35411,0.4208861653158623,0.007272207610725558
2G/3G/4G/5G,Transports - Intercites et TER,intrain,SMS,Réception SMS <10s,0.7125833606646989,0.01311612423666879,0.7330049261083744,0.012829858432655085,0.7750819672131147,0.012098916424448502,0.7382992748846408,0.012770895097415833,35411,0.7397492746482729,0.01271656975734314
2G/3G/4G/5G,Transports - Intercites et TER,intrain,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 10s,0.7058183669690798,0.004296632846579945,0.7407679926419867,0.004118573145309509,0.7858846736088811,0.003850579328766659,0.7349855196315814,0.0042145882621612354,172422,0.7420050805581654,0.0020652315379701717
2G/3G/4G/5G,Transports - Metros,intrain,VOIX,Communications réussies,0.9759277833500501,0.00951426787556618,0.9370558375634518,0.015166955790855132,0.957843137254902,0.012332108110818406,0.9530469530469531,0.013104729817727956,8006,0.9560329752685486,0.006351309130678395
2G/3G/4G/5G,Transports - Metros,intrain,VOIX,Communications réussies et sans perturbations audibles,0.8054162487462387,0.024573780317813244,0.7147208121827411,0.02819948747722231,0.8431372549019608,0.02231850143048317,0.8356643356643356,0.022957303669730776,8006,0.8002747939045716,0.01238509335192919
2G/3G/4G/5G,Transports - Metros,intrain,SMS,Réception SMS <10s,0.9841269841269841,0.007715802465185071,0.9544554455445544,0.012858533583379286,0.981169474727453,0.008387136665931619,0.9772277227722772,0.00920018382793746,8006,0.9742382957641813,0.00978015412223761
2G/3G/4G/5G,Transports - Metros,intrain,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 10s,0.9713121569931814,0.0029834848138411215,0.9702445994788602,0.003053239398569726,0.976726851084976,0.0026893332620068536,0.9754745506467327,0.002778366863073697,47903,0.9734463394776945,0.001439769345172338
2G/3G/4G/5G,Transports - Routes,Incar,VOIX,Communications réussies,0.9074406901509705,0.007615206583083797,0.8710191082802548,0.00873839201183172,0.9171378091872792,0.007181966257330955,0.9,0.007836517876799141,45572,0.898871412067893,0.0039390606688462886
2G/3G/4G/5G,Transports - Routes,Incar,VOIX,Communications réussies et sans perturbations audibles,0.6470165348670022,0.012557332141212055,0.5784677990092003,0.01287389513078455,0.6515901060070671,0.012413102343303567,0.6325932504440497,0.012593246839829398,45572,0.6273438194259309,0.006317043829646175
2G/3G/4G/5G,Transports - Routes,Incar,SMS,Réception SMS <10s,0.9497284988614468,0.005668089664835215,0.9345206914614982,0.006406767781635713,0.9636521739130435,0.004837506064282428,0.959276812357381,0.005132462888214811,45572,0.9517982781977887,0.005556224474940939
2G/3G/4G/5G,Transports - Routes,Incar,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 10s,0.9286228482003129,0.0019962040474862173,0.9302299936988028,0.001981833488193446,0.9584998750936797,0.0015446284055638838,0.9394294969260263,0.0019006946785464945,251936,0.9392186904610694,0.0009329950639135594
2G/3G/4G/5G,Transports - TGV,intrain,VOIX,Communications réussies,0.5948305972755851,0.017982926445650076,0.5974864130434783,0.017715012281590056,0.778702163061564,0.014842535905708958,0.5640138408304498,0.018079581859164886,23404,0.6351051102375662,0.008722334116912514
2G/3G/4G/5G,Transports - TGV,intrain,VOIX,Communications réussies et sans perturbations audibles,0.2893817673768774,0.01661112907166959,0.28328804347826086,0.01627697197846026,0.41480865224625624,0.017615974971717636,0.2771626297577855,0.016319046700614397,23404,0.3170398222526064,0.008431029776040282
2G/3G/4G/5G,Transports - TGV,intrain,SMS,Réception SMS <10s,0.7259914782038676,0.015826422809020666,0.7542539267015707,0.015264461219206077,0.85965483555845,0.012285050475633585,0.7391590013140604,0.015598779156197954,23404,0.7699230895107184,0.014934653743480786
2G/3G/4G/5G,Transports - TGV,intrain,WEB,Taux de réussite de l'accès au site internet dans un délai inférieur à 10s,0.6757304915778618,0.005379278451160305,0.7233133484942458,0.005146947592584806,0.8175078220650251,0.004414900801260121,0.6944142970841473,0.005430592090232372,115158,0.7284079265009813,0.0025689455036795794
2G/3G/4G/5G,Transports - Transiliens et RER,intrain,VOIX,Communications réussies,0.837152209492635,0.02070206260302035,0.7955665024630542,0.022648878446620103,0.8606356968215159,0.019378459139629,0.7990314769975787,0.02231343245969898,9812,0.8230737871993478,0.010678439106385924
